ticket_id,opened_ts,closed_ts,is_correctly_triaged
1,2025-01-01 00:00:00,2025-01-01 02:22:00,0
2,2025-01-01 01:00:00,2025-01-01 03:12:00,0
3,2025-01-01 02:00:00,2025-01-01 02:54:00,0
4,2025-01-01 03:00:00,2025-01-01 05:26:00,1
5,2025-01-01 04:00:00,2025-01-01 05:51:00,1
6,2025-01-01 05:00:00,2025-01-01 06:00:00,1
7,2025-01-01 06:00:00,2025-01-01 08:22:00,0
8,2025-01-01 07:00:00,2025-01-01 09:41:00,1
9,2025-01-01 08:00:00,2025-01-01 09:54:00,0
10,2025-01-01 09:00:00,2025-01-01 11:07:00,0
11,2025-01-01 10:00:00,2025-01-01 12:36:00,1
12,2025-01-01 11:00:00,2025-01-01 13:19:00,1
13,2025-01-01 12:00:00,2025-01-01 14:23:00,1
14,2025-01-01 13:00:00,2025-01-01 16:11:00,0
15,2025-01-01 14:00:00,2025-01-01 16:50:00,1
16,2025-01-01 15:00:00,2025-01-01 18:09:00,1
17,2025-01-01 16:00:00,2025-01-01 17:32:00,0
18,2025-01-01 17:00:00,2025-01-01 17:41:00,1
19,2025-01-01 18:00:00,2025-01-01 20:07:00,0
20,2025-01-01 19:00:00,2025-01-01 22:17:00,0
